coverage_id,planning_target_id,coverage_status,plan_ids,verification_ids,rollback_ids,rationale
PCOV-001,PTGT-001,PARTIAL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-002,PTGT-002,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-003,PTGT-003,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-004,PTGT-004,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-005,PTGT-005,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-006,PTGT-006,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-007,PTGT-007,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-008,PTGT-008,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-009,PTGT-009,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-010,PTGT-010,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-011,PTGT-011,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-012,PTGT-012,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-013,PTGT-014,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-014,PTGT-015,FULL,PLN-002|PLN-003|PLN-005|PLN-007,TST-005|TST-006,RBK-002|RBK-003|RBK-005,The mapped plan and verification items fully address this approved obligation.
PCOV-015,PTGT-016,FULL,PLN-002|PLN-003|PLN-005|PLN-007,TST-005|TST-006,RBK-002|RBK-003|RBK-005,The mapped plan and verification items fully address this approved obligation.
PCOV-016,PTGT-017,FULL,PLN-004|PLN-006,TST-009|TST-011,RBK-004|RBK-006,The mapped plan and verification items fully address this approved obligation.
PCOV-017,PTGT-018,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-018,PTGT-019,FULL,PLN-003|PLN-007|PLN-008,TST-007|TST-010,RBK-003|RBK-007,The mapped plan and verification items fully address this approved obligation.
PCOV-019,PTGT-020,FULL,PLN-003|PLN-007|PLN-008,TST-007|TST-010,RBK-003|RBK-007,The mapped plan and verification items fully address this approved obligation.
PCOV-020,PTGT-021,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-021,PTGT-022,FULL,PLN-002|PLN-003|PLN-007,TST-006,RBK-002|RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-022,PTGT-023,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-023,PTGT-024,FULL,PLN-002|PLN-003|PLN-005|PLN-007,TST-005|TST-006,RBK-002|RBK-003|RBK-005,The mapped plan and verification items fully address this approved obligation.
PCOV-024,PTGT-025,FULL,PLN-003|PLN-006,TST-005|TST-007|TST-008|TST-011,RBK-003|RBK-006,The mapped plan and verification items fully address this approved obligation.
PCOV-025,PTGT-026,FULL,PLN-002,TST-004|TST-005,RBK-002,The mapped plan and verification items fully address this approved obligation.
PCOV-026,PTGT-027,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-027,PTGT-028,FULL,PLN-003|PLN-006,TST-005|TST-007|TST-008|TST-011,RBK-003|RBK-006,The mapped plan and verification items fully address this approved obligation.
PCOV-028,PTGT-029,FULL,PLN-002,TST-004|TST-005,RBK-002,The mapped plan and verification items fully address this approved obligation.
PCOV-029,PTGT-030,FULL,PLN-001|PLN-004|PLN-005,TST-002|TST-003|TST-009,RBK-001|RBK-004|RBK-005,The mapped plan and verification items fully address this approved obligation.
PCOV-030,PTGT-031,FULL,PLN-001|PLN-004|PLN-005,TST-002|TST-003|TST-009,RBK-001|RBK-004|RBK-005,The mapped plan and verification items fully address this approved obligation.
PCOV-031,PTGT-032,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-032,PTGT-033,FULL,PLN-003|PLN-007,TST-001|TST-005|TST-007,RBK-003,The mapped plan and verification items fully address this approved obligation.
PCOV-033,PTGT-034,FULL,PLN-001|PLN-004|PLN-005|PLN-008,TST-003|TST-010,RBK-001|RBK-004|RBK-005|RBK-007,The mapped plan and verification items fully address this approved obligation.
PCOV-034,PTGT-035,FULL,PLN-001|PLN-004|PLN-005|PLN-008,TST-003|TST-010,RBK-001|RBK-004|RBK-005|RBK-007,The mapped plan and verification items fully address this approved obligation.
PCOV-035,PTGT-036,FULL,PLN-003|PLN-007|PLN-008,TST-007|TST-010,RBK-003|RBK-007,The mapped plan and verification items fully address this approved obligation.
